rule_id,node_id,rule_name,rule_class,rule_trigger,rule_action,rule_standard,rule_exception,rule_owner,data_anchor,externalized,gap_type,gap_description,priority,source,round,source_recording,version,legacy_rule_id,domain
PAY-R074,VN-PAY-09,永明固定汇率7.8规则,A类,处理永明美金保单佣金计算时,全年采用固定汇率USD:HKD=7.8进行验算，不对照市场实时汇率,对永明账单直接用7.8核算，与其他保司区分使用不同汇率规则,永明发布汇率政策变更后须同步更新规则,财务人员(Chaya/Soso)+中台(蔡依娜),永明对账单·汇率字段(7.8固定),口头经验,,,P1,二轮·INSIGHT(信号3),1,PAY005-009_规则清单_财务_v1.0(原始docx对应录音),v1.0,PAY009-R001,PAY
PAY-R075,VN-PAY-09,其他保司即时汇率获取规则,A类,处理永明以外保司的非本币保单佣金计算时,以其对账单上实时显示的汇率为准，不对照固定汇率,汇率取自对账单原文，计算与其一致,无对账单或汇率缺失时暂缓核算，待获取汇率后补算,财务人员(Chaya/Soso),其他保司对账单·汇率字段(即时),口头经验,,,P1,二轮·INSIGHT(信号3),1,PAY005-009_规则清单_财务_v1.0(原始docx对应录音),v1.0,PAY009-R002,PAY
PAY-R076,VN-PAY-05,Shortage上限阈值书面化,B类,续保Shortage执行时,将当前不成文的100港币上限写入正式政策文件,待确认：上限阈值需财务总监书面确认并发行,极少数情况Shortage不超过20-50港币,财务总监(政策制定),续保Shortage·上限阈值,口头经验,A类·信息缺失,Shortage 100港币上限尚未书面化，依赖口头经验；需财务总监正式发文明确阈值和会计处理,P1,二轮·DECISION(信号2),1,PAY005-009_规则清单_财务_v1.0(原始docx对应录音),v1.0,PAY005-R005,PAY
PAY-R077,VN-PAY-05,对账单差异拆解责任边界,B类,保司对账单与我方应收出现差异时,财务侧反馈实收+中台匹配差异→由中台(蔡依娜)拆解差异并确认原因→如为保司少付通知财务追佣,待确认：当前口头协作模式，书面SOP和RACI未定义,超过一定金额(待定义)的差异须升级沟通,Chaya/Soso(实收端)+蔡依娜(差异拆解)+渠道(对外追佣),对账流程·差异拆解RACI,口头经验,A类·信息缺失,财务与中台在对账差异拆解环节的RACI未书面化；需明确每个差异原因类别的责任归属和时限,P1,二轮·DIAGNOSIS(信号1),1,PAY005-009_规则清单_财务_v1.0(原始docx对应录音),v1.0,PAY005-R006,PAY
PAY-R078,VN-PAY-05,永明明细账单谈判规则,B类,与永明保险公司续约或业务回顾时,向永明推动提供保单级电子明细对账单(含保单号/佣金率/佣金金额)替换总数账单,待确认：谈判策略和优先级需渠道管理部门决策,谈判达成前维持人工逆推核对模式,渠道管理负责人(对外沟通)+法务(合同条款),永明账单·明细对账单,口头经验,B类·岗位边界,永明要求提供明细对账单属外部合作谈判议题，依赖渠道管理部门推动，超出财务直接控制范围,P1,首轮·DIAGNOSIS(信号3),1,PAY005-009_规则清单_财务_v1.0(原始docx对应录音),v1.0,PAY005-R007,PAY
PAY-R079,VN-PAY-05,财务新人上手SOP制度化,B类,财务新人接手佣金实收处理工作,建立书面SOP含：不同保司差异做法/新旧保单处理/不同牌照差异/常见错误案例/判断规则,待确认：SOP内容完整性和培训效果尚未验证,复杂保司(永明)需额外案例演示和实操陪练,Chaya/Soso(经验输出)+HR(培训制度)+管理层(资源批准),(待产出·财务操作SOP),口头经验,A类·信息缺失,当前交接为口传心授模式，新人上手3-6个月；SOP尚未完整书面化，需验证覆盖全部保司场景,P0,首轮·EXECUTION(信号2),1,PAY005-009_规则清单_财务_v1.0(原始docx对应录音),v1.0,PAY005-R008,PAY
PAY-R080,VN-PAY-05,建立对账SOP(应收/实收RACI),C类,财务与中台对账流程标准化需求,联合绘制跨部门对账流程图，明确双方在数据提供/差异拆解/责任认定/追佣发起中的RACI,SOP覆盖全部保司和全部差异原因类别，双方签字确认,紧急差异处理可走简化通道但须事后补记录,财务主管+蔡依娜(中台)+管理层(批准),(待产出·对账SOP),未记录,C类·系统裁定,需要管理层推动跨部门SOP制定和签署(当前口头协作模式，无书面化),P1,二轮·DIAGNOSIS(信号1),1,PAY005-009_规则清单_财务_v1.0(原始docx对应录音),v1.0,PAY005-R009,PAY
PAY-R081,VN-PAY-05,建立合作保司汇率规则表,C类,未来系统化对账和汇率核算需求,梳理全部合作保司(≥13家)的汇率结算规则，编撰合作保险公司汇率规则表,规则表含币种/汇率模式(固定/浮动)/获取方式/更新频率,保司汇率政策变更时须更新规则表,中台负责人+IT部门+Chaya/Soso,(待编撰·汇率规则表),未记录,C类·系统裁定,需要跨部门协作编制汇率规则总表作为未来系统化数据字典,P2,二轮·INSIGHT(信号3),1,PAY005-009_规则清单_财务_v1.0(原始docx对应录音),v1.0,PAY005-R010,PAY
PAY-R082,VN-PAY-05,建立Shortage会计科目与核销流程,C类,续保Shortage被公司内部消化时,设立专门会计科目核算Shortage支出，设定100港币阈值自动核销,会计科目已设立，年度Shortage总额纳入可控运营成本预算,超过100港币的Shortage须上报财务总监审批,财务总监+运营总监,(待设立·Shortage会计科目),未记录,C类·系统裁定,需要财务总监裁定会计科目设置和年度预算编制(当前非正式消化),P2,二轮·DECISION(信号2),1,PAY005-009_规则清单_财务_v1.0(原始docx对应录音),v1.0,PAY005-R011,PAY
PAY-R083,VN-PAY-05,推动永明提供明细对账单,C类,永明月度账单仅含总数,渠道管理部门制定与永明的沟通策略，推动提供保单级电子明细；作为长期合作关系的基础设施诉求,至少一次正式沟通完成，记录永明反馈和下一步时间表,谈判未果前保持人工逆推核对并提升效率,渠道管理负责人+法务+CFO,(待推动·永明谈判),未记录,C类·系统裁定,外部合作谈判属管理层战略决策，需C-level确定谈判优先级和底线,P1,首轮·DIAGNOSIS(信号3),1,PAY005-009_规则清单_财务_v1.0(原始docx对应录音),v1.0,PAY005-R012,PAY
PAY-R084,VN-PAY-05,建立财务操作SOP(压缩上手周期),C类,财务新人上手周期过长(3-6个月),启动财务操作SOP文档化紧急项目，目标1个月内完成核心保司操作文档，将上手周期压缩到1个月,SOP覆盖永明等主要保司处理步骤/判断规则/常见错误案例,培训材料和上岗测试配套产出,Chaya/Soso(经验输出)+CFO(批准资源)+HR(培训),(待产出·财务操作SOP),未记录,C类·系统裁定,当前单点依赖Chaya/Soso，新人上手3-6个月；需CFO批准资源推动SOP文档化和培训,P0,首轮·EXECUTION(信号2),1,PAY005-009_规则清单_财务_v1.0(原始docx对应录音),v1.0,PAY005-R013,PAY
PAY-R085,VN-PAY-01,佣金录入错误下游发现机制,A类,佣金数据录入发生错误，且在上游未被发现。,下游岗位在处理业务时发现数据异常，从而触发问题排查。,下游岗位（市场佣金岗或结算岗）能识别出与业务常识或历史数据不符的佣金率，并向上游（佣金运营）发起问询。,受访人表示目前未出现过录入错误传递到下游的情况。但理论上，市场佣金岗是第一个可能发现错误的人。,市场佣金岗(发现)/结算岗(发现),"fact_commission_rate,市场佣金表",口头经验,,,P2,访谈002·五问Q2追问,2,刘敏然（首轮）-结构化信号提取（jasper版）.md,v1.0,,PAY
PAY-R086,VN-PAY-01,佣金费率更新空窗期处理规则,A类,保司已通知调整费率，但内部系统（新脚本）尚未更新完成。,1.佣金运营岗在收到新费率后，立即更新个人维护的Excel计算表（旧版）。2.在此期间，所有下游用户（市场佣金、结算、财务）均参考该Excel计算表（旧版）获取最新费率进行工作。,确保所有业务操作都使用最新的费率，即使新系统尚未同步。,N/A,中台运营-佣金运营岗,N/A(依赖于手工Excel表),口头经验,,,P1,访谈002·五问Q4,2,刘敏然（首轮）-结构化信号提取（jasper版）.md,v1.0,,PAY
PAY-R087,VN-PAY-02,额外费用/收入分类规则,A类,收到一笔来自保司的款项，且不属于明确的保单佣金时,根据款项性质分类：1.费用类(台费/保费补缴)归入额外费用；2.收入类但无法明确对应保单佣金归入额外收入(Bonus)；MPF不属于额外费用；RIB转介费独立大类一年一清,款项被正确归类到额外费用或额外收入,收到不明原因款项时需先向保司问询原因再归类,财务部(娜娜),佣金实收表-Record分类字段,口头经验,,,P2,访谈TBD·第四个问题,2,财务（首轮）-结构化信号提取（jasper版）.md,v1.0,,PAY
PAY-R088,VN-PAY-02,差异核对岗位责任划分与变更起点,A类,需要追溯差异核对责任人,记录牌照端经纪行由佐佐负责；代理公司支付由受访人负责；人员变更起点为2026-05-15(佐佐离职),责任记录包含牌照端/代理端划分及变更日期；明确不涉及佣金的岗位(如Misa/Ki)不承担该责任,无,财务部差异核对专员,岗位责任记录,口头经验,,,P1,访谈006·五问Q5,2,财务（二轮）-结构化信号提取（jasper版）.md,v1.0,,PAY
PAY-R089,VN-PAY-02,归属不明款项询问与升级流程,A类,出现对账单无法识别的款项或扣款,财务向保司发送邮件至既有联络邮箱；若不便由财务发送，由行政转发对接RM；永明可由财务直接联系；必要时由RO/Mark升级与保司沟通,邮件往来留存；金额较大必须询问；对账单通常能识别来源，无回复时记录升级路径,保司可能不回复；不明款项实际较少,财务部差异核对专员,邮件记录、对账单,口头经验,,,P1,访谈006·五问Q10,2,财务（二轮）-结构化信号提取（jasper版）.md,v1.0,,PAY
PAY-R090,VN-PAY-06,权益激励派发周期与剩余待派的手动触发+公式计算,A类,每期结算开始，权益部更新服务价值数据到位,结算专员手动更新当期服务价值与相关单据状态；Excel公式自动计算：剩余待派=当期total可派发上限-已派发；激励透出金额基于状态与服务价值公式自动汇总；完成对账与派发清单输出,服务价值数据与版本一致；手动动作与自动计算分步留痕，可复核；计算结果与财务核对一致,服务价值缺失/延期：本期透出冻结，待数据到位后重算,结算专员(权益部提供服务价值),业务V0/财务V0(相关期)、激励派发Excel(含公式),口头经验,,,P1,访谈005·五问Q1~Q3(问题组六),2,蔡依娜（二次）-结构化信号提取（jasper版）.md,v1.0,,PAY
PAY-R091,VN-PAY-06,冷静期字段由业管部维护,A类,结算周期计算前,读取业管部维护的冷静期字段作为结算周期计算依据,冷静期字段在单据中明确且可追溯,无,业管部(字段维护);业务侧结算负责人(字段使用),冷静期字段,口头经验,,,P2,访谈005·五问Q1(Section A),2,蔡依娜（二次）-结构化信号提取（jasper版）.md,v1.0,,PAY
PAY-R092,VN-PAY-06,审批驳回的修订与重提,A类,审批人提出修改或业务规则变更,接收审批意见，修订金额或字段；重新提交至审批链(王总与某某)，通过后再向理财师发对账单,修改点与原因留痕；审批通过后对账单再发出,无,业务侧结算负责人;审批人(王总、某某),审批意见记录；修订版表,口头经验,,,P2,访谈005·五问Q3+Q4(Section A),2,蔡依娜（二次）-结构化信号提取（jasper版）.md,v1.0,,PAY
